pred_person,true_person,pred_rank,true_rank,pred_title_or_role,true_title_or_role,pred_organization,true_organization,line_number,source_uuid,link_to_ann
OA Ihejirika,,['Lt Gen'],[],[],[],[],[],32,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
Lt Glover,,[],[],[],[],['Nigerian Army'],[],34,493ac34f-6d9a-40ff-9843-5d7de6d3525c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/493ac34f-6d9a-40ff-9843-5d7de6d3525c.txt
Mohammed Sani Ali,Mohammed Sani Ali,['Brigadier-General'],['Brigadier-General'],['General Officer Commanding'],['General Officer Commanding'],"['3 Division', 'Nigerian Army']",['3 Division'],2,37ea0e4c-2b65-47e3-8347-6c55d6230165,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/37ea0e4c-2b65-47e3-8347-6c55d6230165.txt
Aliyu,,['General'],[],[],[],[],[],6,37ea0e4c-2b65-47e3-8347-6c55d6230165,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/37ea0e4c-2b65-47e3-8347-6c55d6230165.txt
Suleiman Abba Monday,Suleiman Abba Monday,['Acting Inspector General of Police'],['Acting Inspector General of Police'],[],[],[],[],2,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Kayode Aderanti,Kayode Aderanti,['CP'],['CP'],[],[],['Nigerian Police force'],[],2,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Usman Baba,Usman Baba,['CP'],['CP'],['Commissioner of Police in charge Delta State'],['Commissioner of Police in charge Delta State'],[],[],3,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Dan Bature,Dan Bature,['CP'],['CP'],['Commissioner of Police in charge of Rivers State'],['Commissioner of Police in charge of Rivers State'],['Police Cooperative at Force headquarters'],[],3,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Tunde Ogunsakin,Tunde Ogunsakin,[],['AIG'],[],[],[],[],3,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Paul Okafor,Paul Okafor,"['AIG', 'CP']","['CP', 'DCP']","['Commissioner of Police in charge Kogi State', 'DCP attached to Police Pensions']","['Commissioner of Police in charge Kogi State', 'DCP attached to Police Pensions']",[],[],3,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Wilson Inalegwu,Wilson Inalegwu,['CP'],['CP'],['FCT Commissioner of Police'],['FCT Commissioner of Police'],[],[],4,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Joseph Mbu Joseph;,Joseph Mbu Joseph,['AIG'],['AIG'],[],['FCT Commissioner of Police'],[],[],4,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Hyacinth Dagala,Hyacinth Dagala,['CP'],['CP'],['Commissioner of Police in charge of Benue State'],['Commissioner of Police in charge of Benue State'],[],[],4,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Usman Yakubu,Usman Yakubu,['CP'],['CP'],['Commissioner of Police Nasarawa State'],['Commissioner of Police Nasarawa State'],[],[],4,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Isaac Gabriel Achong,Isaac Gabriel Achong,['CP'],['CP'],['Commissioner of Police Akwa Ibom State'],['Commissioner of Police Akwa Ibom State'],[],[],4,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Idris Farouk Umar,Idris Farouk Umar,['CP'],['CP'],['Commissioner of Police in charge Jigawa State'],['Commissioner of Police in charge Jigawa State'],[],[],4,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Salihu Garba,Salihu Garba,['CP'],['CP'],['Commissioner of Police Kwara state'],['Commissioner of Police Kwara state'],[],[],5,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
A.K. Shodipo,A.K. Shodipo,['CP'],['CP'],['Commissioner of Police Oyo State'],['Commissioner of Police Oyo State'],[],[],5,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Abubakar Marafa,Abubakar Marafa,['CP'],['CP'],['AIG in charge Force Intelligence'],"['Commissioner of Police, Osun State']",['Force headquarters'],[],5,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Clement Adoda,Clement Adoda,['CP'],['CP'],"['Commissioner of Police, Osun State', 'Commissioner of Police', 'Commissioner of Police, Anambra state']",['Commissioner of Police'],[],[],5,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Karma Hosea Hassan,Karma Hosea Hassan,['CP'],['CP'],[],"['Commissioner of Police, Anambra state']",[],[],5,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Bala Nasarawa,Bala Nasarawa,['AIG'],['AIG'],[],['AIG in charge Force Intelligence'],[],['Force headquarters'],5,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Titilayo Busari,Titilayo Busari,['CP'],['CP'],[],[],[],[],6,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Valentine Ntomchukwu,Valentine Ntomchukwu,['CP'],['CP'],[],[],[],[],6,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Hilary Opara,Hilary Opara,[],['DIG'],[],[],[],['Force Headquarters'],6,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Ademola Omole,Ademola Omole,['CP'],['CP'],[],['Commissioner of Police in charge Taraba state'],['Force Headquarters'],[],6,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Olusola Amore,Olusola Amore,"['DIG', 'CP']",['CP'],"['Commissioner of Police in charge Taraba state', 'Force Public Relations officer', 'Commissioner of Police in charge Niger state']","['Force Public Relations officer', 'Commissioner of Police in charge Niger state']",['Force headquarters'],['Force headquarters'],6,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Gabriel Adejoh Adaji,Gabriel Adejoh Adaji,['CP'],['CP'],['Commissioner of Police in charge Ekiti'],['Commissioner of Police Adamawa state'],[],[],7,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Frederick Lakanu,Frederick Lakanu,['CP'],['CP'],['Commissioner of Police Adamawa state'],['Commissioner of Police in charge Ekiti'],[],[],7,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Ishaku Barau,Ishaku Barau,['CP'],['CP'],['Commissioner of Police in charge Kebbi state'],['Commissioner of Police in charge Kebbi state'],[],[],7,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Emmanuel Ojukwu,Emmanuel Ojukwu,['Acting CP'],['Acting CP'],['Force Public Relations Officer'],['Force Public Relations Officer'],[],[],8,b166faeb-7005-422d-8dd1-b8039edc0705,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b166faeb-7005-422d-8dd1-b8039edc0705.txt
Adebayo Olaniyi Friday,Adebayo Olaniyi,['Major General'],['Major General'],['General Officer Commanding'],['General Officer Commanding'],"['Nigerian Army', '82 Division']",['82 Division'],2,2f65f578-59d2-4b4f-8ae4-920927e7e598,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/2f65f578-59d2-4b4f-8ae4-920927e7e598.txt
Azubuike Ihejirika,Azubuike Ihejirika,['Lt. Gen'],['Lt. Gen'],['Chief of Army Staff'],['Chief of Army Staff'],[],[],7,2f65f578-59d2-4b4f-8ae4-920927e7e598,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/2f65f578-59d2-4b4f-8ae4-920927e7e598.txt
Olaniyi,,[],[],[],[],[],[],10,2f65f578-59d2-4b4f-8ae4-920927e7e598,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/2f65f578-59d2-4b4f-8ae4-920927e7e598.txt
Abdullahi Muraina,Abdullahi Muraina,['Major Gen'],['Major Gen'],['chief of accounts and budget (Army)'],['chief of accounts and budget (Army)'],[],[],11,2f65f578-59d2-4b4f-8ae4-920927e7e598,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/2f65f578-59d2-4b4f-8ae4-920927e7e598.txt
Sagir Musa,Sagir Musa,['Lt. Col'],['Lt. Col.'],['spokesman'],[],"['7 Division', 'Nigerian Army']",['7 Division'],15,2f65f578-59d2-4b4f-8ae4-920927e7e598,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/2f65f578-59d2-4b4f-8ae4-920927e7e598.txt
Ibrahim Attahiru,Ibrahim Attahiru,['Major General'],['Major General'],['General Officer Commanding'],['General Officer Commanding'],['82 Division'],['82 Division'],2,763e05ec-a66a-46fb-a691-223339e19272,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/763e05ec-a66a-46fb-a691-223339e19272.txt
Sep,,[],[],[],[],[],[],13,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Dec,,[],[],[],[],['24 Sep'],[],18,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Jul,,[],[],[],[],['15 Dec'],[],23,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Sep,,[],[],[],[],[],[],33,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Sep,,[],[],[],[],[],[],38,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Sep,,[],[],[],[],[],[],38,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Oct,,[],[],[],[],['Apr 80'],[],43,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Nov,,[],[],[],[],[],[],48,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Sep,,[],[],[],[],[],[],63,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Oct,,[],[],[],[],['16 Sep'],[],68,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Sep,,[],[],[],[],[],[],78,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Sep,,[],[],[],[],[],[],83,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Nov,,[],[],[],[],[],[],83,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Sep,,[],[],[],[],[],[],93,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
MC Ali,,[],[],[],[],[],[],96,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Dec,,[],[],[],[],['20 Sep'],[],98,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Jul,,[],[],[],[],['22 Apr'],[],113,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Jul,,[],[],[],[],[],[],118,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Dec,,[],[],[],[],[],[],118,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Jun,,[],[],[],[],['16 Dec'],[],123,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Apr,,[],[],[],[],['19 Jul'],[],128,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Dec,,[],[],[],[],[],[],133,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Jul,,[],[],[],[],[],[],148,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
GA Wahab,,[],[],[],[],[],[],167,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
KC Osuji,,['34 Maj Gen'],[],[],[],[],[],169,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Lt Glover,,[],[],[],[],['Nigerian Army'],[],173,e12a7970-4bda-477a-b8ee-7dcc64b51bb8,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e12a7970-4bda-477a-b8ee-7dcc64b51bb8.txt
Peter Dauke,"Peter Dauke,",['Major General'],['Major General'],['General Officer Commanding'],['General Officer Commanding'],['Division 3 Jos'],['Division 3'],2,e7624061-1fee-47c0-b3ff-d0d5a8800e9b,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e7624061-1fee-47c0-b3ff-d0d5a8800e9b.txt
Akeredolu,,[],[],[],[],[],[],1,e6229f5c-fe49-4fa2-b296-6cbc8ee0013d,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e6229f5c-fe49-4fa2-b296-6cbc8ee0013d.txt
Oluwarotimi Akeredolu,,['Gov'],[],[],[],[],[],2,e6229f5c-fe49-4fa2-b296-6cbc8ee0013d,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e6229f5c-fe49-4fa2-b296-6cbc8ee0013d.txt
Chukwunedum Abraham,"Chukwunedum Abraham,",['Maj.- Gen'],['Maj.- Gen'],['General Officer Commanding'],['General Officer Commanding'],"['2 Division', 'Nigerian Army']",['2 Division'],3,e6229f5c-fe49-4fa2-b296-6cbc8ee0013d,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e6229f5c-fe49-4fa2-b296-6cbc8ee0013d.txt
Akeredolu,,[],[],[],[],[],[],9,e6229f5c-fe49-4fa2-b296-6cbc8ee0013d,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/e6229f5c-fe49-4fa2-b296-6cbc8ee0013d.txt
,Texas Chukwu,[],['Brig.-Gen'],[],['Director'],[],"['Army Public Relations,']",4,1f6ae567-b76c-4a32-a03b-c6794028d5a0,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/1f6ae567-b76c-4a32-a03b-c6794028d5a0.txt
Muhammadu Buhari,,[],[],[],[],[],[],11,1f6ae567-b76c-4a32-a03b-c6794028d5a0,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/1f6ae567-b76c-4a32-a03b-c6794028d5a0.txt
Buhari,,[],[],[],[],[],[],12,1f6ae567-b76c-4a32-a03b-c6794028d5a0,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/1f6ae567-b76c-4a32-a03b-c6794028d5a0.txt
Yusha’u Abubakar,Yusha’u Abubakar,[],['major general'],['head of Training and Operations'],['head of Training and Operations'],['Nigerian Army'],['Nigerian Army'],2,b12b91b8-63a8-41e1-910a-94d72a0548f7,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b12b91b8-63a8-41e1-910a-94d72a0548f7.txt
Sani Usman,Sani Usman,[],[],['spokesman'],['spokesman'],['Nigerian Army'],['Nigerian Army'],4,b12b91b8-63a8-41e1-910a-94d72a0548f7,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b12b91b8-63a8-41e1-910a-94d72a0548f7.txt
MSA Aliyu,MSA Aliyu,[],[],['acting General Officer Commanding'],['acting General Officer Commanding'],['3 Division'],['3 Division'],4,b12b91b8-63a8-41e1-910a-94d72a0548f7,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b12b91b8-63a8-41e1-910a-94d72a0548f7.txt
Yusha’u Mahmood Abubakar,Yusha’u Mahmood Abubakar,['Major General'],['Major General'],['Chief of Training and Operations (Army)'],['Chief of Training and Operations (Army)'],[],[],5,b12b91b8-63a8-41e1-910a-94d72a0548f7,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b12b91b8-63a8-41e1-910a-94d72a0548f7.txt
MSA Aliyu,MSA Aliyu,['Brigadier General'],['Brigadier General'],['Acting General Officer Commanding'],['Acting General Officer Commanding'],['3 Division'],['3 Division'],5,b12b91b8-63a8-41e1-910a-94d72a0548f7,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b12b91b8-63a8-41e1-910a-94d72a0548f7.txt
Yusha’u Abubakar,,[],[],[],[],[],[],6,b12b91b8-63a8-41e1-910a-94d72a0548f7,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b12b91b8-63a8-41e1-910a-94d72a0548f7.txt
Aliyu,,"['Major General', 'Brigadier General']",[],[],[],[],[],6,b12b91b8-63a8-41e1-910a-94d72a0548f7,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/b12b91b8-63a8-41e1-910a-94d72a0548f7.txt
Tamunomieibi Dibi,Tamunomieibi Dibi,['Major-General'],['Major-General'],['General Officer Commanding'],['General Officer Commanding'],"['81 division', 'Nigerian Army']",['81 division'],2,a90822fc-77bf-48e5-942e-5cb8d1fee32c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/a90822fc-77bf-48e5-942e-5cb8d1fee32c.txt
Buhari,,[],[],[],[],"['UN', 'Biafra']",[],1,582d5933-38ab-4137-bc30-3fc7a4334fbd,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/582d5933-38ab-4137-bc30-3fc7a4334fbd.txt
Muhammadu Buhari,,[],[],[],[],['Actualisation of Sovereign State of Biafra'],[],3,582d5933-38ab-4137-bc30-3fc7a4334fbd,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/582d5933-38ab-4137-bc30-3fc7a4334fbd.txt
